
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator !=<T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator <<T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator <=<T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator ==<T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator ><T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)||iox::is_custom_string<T1>::value), bool>::type iox::operator >=<T1, unsigned long>(const T1 &, const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator !=<T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator <<T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator <=<T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator ==<T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator ><T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::operator >=<T1, unsigned long>(const iox::string<unsigned long> &, const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), bool>::type iox::string<unsigned long>::unsafe_append<T1>(const T1 &) LC=100% 10/10  DC=100% 2/2    SCC=50% 1/2    MCDC=0% 0/1    
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||(std::is_same<T1, char>::value||iox::is_custom_string<T1>::value)), iox::string<unsigned long>&>::type iox::string<unsigned long>::append<T1>(iox::TruncateToCapacity_t, const T1 &) LC=100% 9/9    DC=100% 2/2    SCC=50% 1/2    MCDC=0% 0/1    
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), iox::optional<unsigned long>>::type iox::string<unsigned long>::find<T1>(const T1 &, unsigned long) const LC=100% 6/6    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), iox::optional<unsigned long>>::type iox::string<unsigned long>::find_first_of<T1>(const T1 &, unsigned long) const LC=100% 9/9    DC=100% 6/6    SCC=100% 4/4   MCDC=100% 2/2  
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), iox::optional<unsigned long>>::type iox::string<unsigned long>::find_last_of<T1>(const T1 &, unsigned long) const LC=100% 15/15  DC=100% 10/10  SCC=100% 6/6   MCDC=100% 3/3  
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), long>::type iox::string<unsigned long>::compare<T1>(const T1 &) const LC=100% 8/8    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  std::enable_if<(iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value), bool>::type iox::string<unsigned long>::insert<T1>(unsigned long, const T1 &, unsigned long) LC=100% 12/12  DC=100% 6/6    SCC=100% 4/4   MCDC=100% 2/2  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/string_internal.hpp LC=100% 6/6    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::internal::GetData<char [T1]>::call(const char (&)[T1]) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::GetData<char>::call(const char &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::GetData<iox::string<unsigned long>>::call(const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::GetSize<char [T1]>::call(const char (&)[T1]) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::GetSize<char>::call(char) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::GetSize<iox::string<unsigned long>>::call(const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/variant.inl LC=100% 36/36  DC=100% 12/12  SCC=92% 11/12  MCDC=83% 5/6   

  T1 * iox::variant<T1...>::get<T1>() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  T1 * iox::variant<T1...>::get_if<T1>(T1 *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::variant<T1...>::has_bad_variant_element_access<T1>() const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  const T1 * iox::variant<T1...>::get<T1>() const LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  const T1 * iox::variant<T1...>::get_if<T1>(const T1 *) const LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  const iox::internal::get_type_at_index<(unsigned long)0, unsigned long, T1..., >::type * iox::variant<T1...>::get_at_index<unsigned long>() const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::internal::get_type_at_index<(unsigned long)0, unsigned long, T1..., >::type * iox::variant<T1...>::get_at_index<unsigned long>() LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::variant<T1...>::call_element_destructor() LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::variant<T1...>::error_message(const char *, const char *) LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::variant<T1...>::~variant()  LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_same<T1, iox::variant<T1...>&>::value), iox::variant<T1...>>::type & iox::variant<T1...>::operator =<T1>(T1 &&) LC=100% 7/7    DC=100% 4/4    SCC=100% 2/2   MCDC=100% 1/1  
  void iox::variant<T1...>::emplace<T1, T2...>(T2 &&...) LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::variant<T1...>::emplace_at_index<unsigned long, T2...>(T2 &&...) LC=100% 5/5    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/variant_internal.hpp LC=70% 26/37   DC=63% 15/24   SCC=63% 15/24  MCDC=33% 4/12  

  iox::internal::call_at_index<unsigned long, T2, >::copy(unsigned long, const void *, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, >::copyConstructor(unsigned long, const void *, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, >::destructor(unsigned long, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, >::equality(unsigned long, const void *, const void *) LC=0% 0/4      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, >::move(unsigned long, void *, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, >::moveConstructor(unsigned long, void *, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, T3...>::copy(unsigned long, const void *, void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, T3...>::copyConstructor(unsigned long, const void *, void *) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::internal::call_at_index<unsigned long, T2, T3...>::destructor(unsigned long, void *) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::internal::call_at_index<unsigned long, T2, T3...>::equality(unsigned long, const void *, const void *) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::internal::call_at_index<unsigned long, T2, T3...>::move(unsigned long, void *, void *) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::internal::call_at_index<unsigned long, T2, T3...>::moveConstructor(unsigned long, void *, void *) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/not_null.hpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::not_null<T1, T2>::not_null(T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> TOTAL (115 files, 1002 functions) LC=77% 2729/3551 DC=66% 857/1294 SCC=55% 1087/1972 MCDC=39% 385/986 
